Iter: 000118 | Node: EQ000013 | Priority: 0.056077 | AFIR: ['300', '4', '12']
Iter: 000119 | Node: EQ000018 | Priority: 0.039104 | AFIR: ['300', '5', '10']
Iter: 000120 | Node: EQ000024 | Priority: 0.050526 | AFIR: ['300', '1', '5']
Iter: 000121 | Node: EQ000018 | Priority: 0.039104 | AFIR: ['300', '4', '7']
Iter: 000122 | Node: EQ000016 | Priority: 0.064249 | AFIR: ['300', '5', '12']
Iter: 000123 | Node: EQ000013 | Priority: 0.056077 | AFIR: ['300', '1', '7']
Iter: 000124 | Node: EQ000026 | Priority: 0.639865 | AFIR: ['300', '1', '7']
Iter: 000125 | Node: EQ000026 | Priority: 0.639865 | AFIR: ['300', '5', '12']
Iter: 000126 | Node: EQ000026 | Priority: 0.639865 | AFIR: ['300', '5', '10']
Iter: 000127 | Node: EQ000026 | Priority: 0.639865 | AFIR: ['300', '4', '10']
Iter: 000128 | Node: EQ000026 | Priority: 0.639865 | AFIR: ['300', '1', '12']
Iter: 000129 | Node: EQ000018 | Priority: 0.034338 | AFIR: ['300', '5', '12']
Iter: 000130 | Node: EQ000024 | Priority: 0.044369 | AFIR: ['300', '1', '4']
Iter: 000131 | Node: EQ000010 | Priority: 0.034068 | AFIR: ['300', '5', '12']
Iter: 000132 | Node: EQ000022 | Priority: 0.050104 | AFIR: ['300', '4', '12']
Iter: 000133 | Node: EQ000027 | Priority: 0.034068 | AFIR: ['300', '1', '5']
Iter: 000134 | Node: EQ000012 | Priority: 0.057405 | AFIR: ['300', '1', '7']
Iter: 000135 | Node: EQ000019 | Priority: 0.034338 | AFIR: ['300', '1', '4']
Iter: 000136 | Node: EQ000024 | Priority: 0.044369 | AFIR: ['300', '5', '12']
Iter: 000137 | Node: EQ000018 | Priority: 0.034338 | AFIR: ['300', '7', '10']
Iter: 000138 | Node: EQ000027 | Priority: 0.034068 | AFIR: ['300', '1', '7']
Iter: 000139 | Node: EQ000011 | Priority: 0.050685 | AFIR: ['300', '4', '10']
Iter: 000140 | Node: EQ000028 | Priority: 0.050685 | AFIR: ['300', '1', '5']
Iter: 000141 | Node: EQ000023 | Priority: 0.057405 | AFIR: ['300', '5', '12']
